Trial,MSE,Params,Best Trial
1016,12.720616227,"{'a11': 9.282830453035992, 'b11': 0.8657979669074707, 'c11': 1.9003710667648188, 'a12': 3.29592817376209, 'b12': 2.4084876498886825, 'c12': 0.8239253603577581, 'a13': 3.496741168308177, 'b13': 2.0366690236776437, 'c13': 4.756037303191412, 'a21': 2.4634629505654404, 'b21': 1.3410963285074218, 'c21': 0.7367723384637966, 'a22': 8.285275873042252, 'b22': 0.794711418616459, 'c22': 1.8669233185766243, 'a23': 8.495499953784636, 'b23': 0.8001814062489758, 'c23': 5.743392409077361, 'a31': 5.399970486327944, 'b31': 1.0517703178881428, 'c31': 4.952282968461332, 'a32': 0.1548662131733859, 'b32': 1.0134046247609296, 'c32': 1.2932684728685593, 'a33': 9.448736703367304, 'b33': 3.1950539223368035, 'c33': 5.944240689087814}",1006
1017,11.716776662,"{'a11': 9.611030195060849, 'b11': 0.8698699345815885, 'c11': 1.2725554922046507, 'a12': 2.1665546865243455, 'b12': 1.8186319192521232, 'c12': 1.0384176511884726, 'a13': 2.7087731480475243, 'b13': 1.0589820626546371, 'c13': 4.919582620470589, 'a21': 2.7593642254305997, 'b21': 1.5876313092487149, 'c21': 0.9584011231181689, 'a22': 7.935976892507375, 'b22': 0.7625294459898391, 'c22': 2.275504589423804, 'a23': 8.736852311316834, 'b23': 0.10805705449343272, 'c23': 4.307804618704807, 'a31': 7.017798292309633, 'b31': 0.3663658659947885, 'c31': 3.8217241168670144, 'a32': 1.7923532376234033, 'b32': 0.9975798649218548, 'c32': 1.741048887327122, 'a33': 8.936848669980948, 'b33': 2.640060859293527, 'c33': 4.79538638924741}",1006
1018,11.991938834,"{'a11': 8.999039770254466, 'b11': 1.3811922659501819, 'c11': 1.4617086818500296, 'a12': 2.915374079512652, 'b12': 1.213185851439321, 'c12': 2.325608315832297, 'a13': 2.743691456809301, 'b13': 3.1022948609028864, 'c13': 5.545043009483916, 'a21': 2.8377000672963812, 'b21': 0.4510356487191023, 'c21': 0.7276812516639662, 'a22': 8.750802906634425, 'b22': 0.8926133974102852, 'c22': 2.3678782922790784, 'a23': 8.025472872057167, 'b23': 0.6278337650133734, 'c23': 5.586073429094452, 'a31': 6.287277057294977, 'b31': 0.9442015336102118, 'c31': 3.871306536994653, 'a32': 1.233129275532328, 'b32': 0.33933925875308735, 'c32': 1.1557356350222492, 'a33': 8.980311225182529, 'b33': 4.015525887876315, 'c33': 4.20323737004433}",1006
1019,9.594427663,"{'a11': 9.065288269584013, 'b11': 0.41414887050419774, 'c11': 1.7984363555938732, 'a12': 1.533906030687773, 'b12': 0.20077104810631852, 'c12': 1.1311159472721513, 'a13': 3.640124026027173, 'b13': 1.2395318134342093, 'c13': 5.130809746244876, 'a21': 3.242636658687727, 'b21': 1.8739570716985376, 'c21': 0.7835617408934874, 'a22': 9.720932222481093, 'b22': 0.1017855611314083, 'c22': 1.454772634303661, 'a23': 7.057470613250078, 'b23': 0.9085189814024011, 'c23': 4.350899827122991, 'a31': 6.2411272355810015, 'b31': 0.5107227711000975, 'c31': 5.607358348861529, 'a32': 1.8237719716289345, 'b32': 1.4412343116821718, 'c32': 1.5984311985811273, 'a33': 9.152980153453385, 'b33': 3.575187835457096, 'c33': 4.164166543197865}",1006
1020,13.697416450,"{'a11': 8.942974782973375, 'b11': 0.5065034714640029, 'c11': 1.572495389015696, 'a12': 2.5780006136887055, 'b12': 2.558821222199658, 'c12': 0.5292774776172399, 'a13': 3.363279229890824, 'b13': 0.8158251408024149, 'c13': 5.800570679571042, 'a21': 4.317087067052153, 'b21': 2.4782456826927532, 'c21': 0.32064523661630034, 'a22': 8.54009247423392, 'b22': 1.0579648809508186, 'c22': 2.722964831018982, 'a23': 7.948025231347486, 'b23': 0.33094743410809857, 'c23': 3.428893481208193, 'a31': 7.461302235581469, 'b31': 1.8178842793610497, 'c31': 6.264363794434632, 'a32': 0.8719673880725278, 'b32': 2.6583721597271204, 'c32': 0.855273417120646, 'a33': 8.155350735956333, 'b33': 2.513318654407501, 'c33': 5.367352367146852}",1006
1021,13.266332581,"{'a11': 9.135200520278577, 'b11': 0.8031391469302462, 'c11': 0.919424550503536, 'a12': 1.0949093693099297, 'b12': 0.4608058701263556, 'c12': 0.8822782904449599, 'a13': 4.539219666044919, 'b13': 0.9463416176262439, 'c13': 4.846124109997597, 'a21': 2.9610831383499345, 'b21': 0.9751277162534402, 'c21': 0.038686251588323006, 'a22': 8.98647749537498, 'b22': 0.6682589979510832, 'c22': 0.4639864441484114, 'a23': 8.922801694560416, 'b23': 0.27414371512966806, 'c23': 2.977340778286143, 'a31': 6.340524848928925, 'b31': 1.139617992357604, 'c31': 5.988263090777534, 'a32': 0.8445632690717091, 'b32': 2.548105150740034, 'c32': 2.0880344012550016, 'a33': 8.698828929270787, 'b33': 2.9497796200003217, 'c33': 5.703716993217161}",1006
1022,10.554340767,"{'a11': 9.364184351314442, 'b11': 0.8862622241932976, 'c11': 1.9220872222217886, 'a12': 2.7093959391130986, 'b12': 0.09453904709089433, 'c12': 1.646768631178297, 'a13': 3.3136716073908974, 'b13': 1.948059430081891, 'c13': 5.380268506133024, 'a21': 2.0783703163740883, 'b21': 1.6355953254964373, 'c21': 1.3156365688630474, 'a22': 8.68307541312671, 'b22': 0.4202157209590639, 'c22': 2.913056233287942, 'a23': 9.205756773743772, 'b23': 0.17401189985324753, 'c23': 4.496433892928541, 'a31': 5.3892536515932985, 'b31': 0.7717677884284896, 'c31': 4.742860194416504, 'a32': 0.9219867668466202, 'b32': 1.24384663494688, 'c32': 1.1844768405081145, 'a33': 9.203649629613722, 'b33': 3.621073334266997, 'c33': 4.122583126306569}",1006
1023,9.121213978,"{'a11': 9.296674757857145, 'b11': 0.10185828863594143, 'c11': 1.255098142571437, 'a12': 1.7947956136437764, 'b12': 0.06875759443101104, 'c12': 0.7340817226706622, 'a13': 2.9151874421528277, 'b13': 0.2745444229957421, 'c13': 4.882314327666296, 'a21': 2.7750591917827943, 'b21': 0.15946026055134788, 'c21': 0.011709368050859648, 'a22': 8.726428826040543, 'b22': 0.6786046615477164, 'c22': 2.1702074102493127, 'a23': 7.99445103112499, 'b23': 0.7298336861402437, 'c23': 3.6881032500544717, 'a31': 6.418403362109306, 'b31': 0.9348603214140482, 'c31': 4.834417808352225, 'a32': 1.373835431173841, 'b32': 0.6464710972276484, 'c32': 2.476948808129996, 'a33': 9.527368522606952, 'b33': 4.131954713159455, 'c33': 5.932353577708602}",1006
1024,11.365763239,"{'a11': 8.751268511311835, 'b11': 0.21653159223276727, 'c11': 2.6842904971608954, 'a12': 2.822628332477557, 'b12': 0.9180118148677234, 'c12': 1.8233359453886782, 'a13': 3.4747096901177015, 'b13': 1.2762971538824026, 'c13': 4.221426777629815, 'a21': 2.085346377678415, 'b21': 1.5644252520285824, 'c21': 1.0230895769218393, 'a22': 9.244612057690613, 'b22': 1.0724097390371936, 'c22': 1.9116515665980172, 'a23': 8.493819620677534, 'b23': 0.47455437761663977, 'c23': 4.635957237759217, 'a31': 5.742543737422275, 'b31': 1.1453491821468726, 'c31': 5.348126007317373, 'a32': 1.1786242507002895, 'b32': 1.898225214694981, 'c32': 1.09339933196083, 'a33': 9.059258802720576, 'b33': 2.652158809932004, 'c33': 5.550098470033672}",1006
1025,12.504757250,"{'a11': 8.932086106891825, 'b11': 0.7838130543548183, 'c11': 1.7436341105640685, 'a12': 1.6678083234029553, 'b12': 2.208647323572971, 'c12': 0.10695561671339437, 'a13': 3.2977069950380598, 'b13': 1.8897450328415535, 'c13': 5.4065486169361385, 'a21': 3.126021035593845, 'b21': 1.3298747011667296, 'c21': 1.2853508773543125, 'a22': 9.140378953723724, 'b22': 1.3746592252403989, 'c22': 1.655775045240909, 'a23': 9.413028254838562, 'b23': 0.23216338892521177, 'c23': 3.7223661824394743, 'a31': 6.817923532053433, 'b31': 0.35597405546908484, 'c31': 4.478779451410055, 'a32': 0.9275571976035033, 'b32': 0.6188166108469972, 'c32': 1.1214234563064518, 'a33': 8.12313001407234, 'b33': 3.0534698674254015, 'c33': 6.370339960702644}",1006
